2024-05-14 00:12:16,765 [http-nio-8080-exec-2] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'findAllCinemaName' executed with arguments: 
2024-05-14 00:12:26,369 [http-nio-8080-exec-4] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'findAllCinemaName' executed with arguments: 
2024-05-14 00:12:27,983 [http-nio-8080-exec-5] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'findMovieByScreening' executed with arguments: 1
2024-05-14 00:12:29,318 [http-nio-8080-exec-6] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'findScreeningByDate' executed with arguments: 1, 1
2024-05-14 00:12:30,259 [http-nio-8080-exec-8] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'findScreeningByTime' executed with arguments: 1, 2024-03-03, 1
2024-05-14 00:12:31,337 [http-nio-8080-exec-7] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'ticketList' executed with arguments: 2
2024-05-14 00:13:41,857 [http-nio-8080-exec-10] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'findAllCinemaName' executed with arguments: 
2024-05-14 00:13:44,537 [http-nio-8080-exec-1] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'findMovieByScreening' executed with arguments: 1
2024-05-14 00:13:47,901 [http-nio-8080-exec-3] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'findScreeningByDate' executed with arguments: 1, 1
2024-05-14 00:13:48,585 [http-nio-8080-exec-4] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'findScreeningByTime' executed with arguments: 1, 2024-03-03, 1
2024-05-14 00:13:49,658 [http-nio-8080-exec-5] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'ticketList' executed with arguments: 2
2024-05-14 00:16:52,423 [http-nio-8080-exec-8] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'findMovieByScreening' executed with arguments: 1
2024-05-14 00:16:53,215 [http-nio-8080-exec-7] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'findScreeningByDate' executed with arguments: 1, 1
2024-05-14 00:16:53,920 [http-nio-8080-exec-9] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'findScreeningByTime' executed with arguments: 1, 2024-03-03, 1
2024-05-14 00:16:54,732 [http-nio-8080-exec-10] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'ticketList' executed with arguments: 2
2024-05-14 00:22:26,153 [RMI TCP Connection(122)-127.0.0.1] INFO  o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin ? - Application shutdown requested.
2024-05-14 00:22:26,251 [RMI TCP Connection(122)-127.0.0.1] INFO  o.a.coyote.http11.Http11NioProtocol ? - Stopping ProtocolHandler ["http-nio-8080"]
2024-05-14 00:22:26,338 [RMI TCP Connection(122)-127.0.0.1] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean ? - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-05-14 00:22:26,483 [RMI TCP Connection(122)-127.0.0.1] INFO  com.zaxxer.hikari.HikariDataSource ? - HikariPool-1 - Shutdown initiated...
2024-05-14 00:22:26,505 [RMI TCP Connection(122)-127.0.0.1] INFO  com.zaxxer.hikari.HikariDataSource ? - HikariPool-1 - Shutdown completed.
2024-05-14 00:27:44,245 [restartedMain] INFO  c.ispan.theater.TheaterApplication ? - Starting TheaterApplication using Java 17.0.10 with PID 23660 (C:\Users\as541\OneDrive\桌面\movie\target\classes started by as541 in C:\Users\as541\OneDrive\桌面\movie)
2024-05-14 00:27:44,247 [restartedMain] INFO  c.ispan.theater.TheaterApplication ? - No active profile set, falling back to 1 default profile: "default"
2024-05-14 00:27:44,416 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor ? - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-05-14 00:27:44,416 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor ? - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-05-14 00:27:45,913 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate ? - Multiple Spring Data modules found, entering strict repository configuration mode
2024-05-14 00:27:45,915 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate ? - Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
2024-05-14 00:27:45,963 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport ? - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.ispan.theater.repository.ActorRepository; If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
2024-05-14 00:27:45,965 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport ? - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.ispan.theater.repository.AdminRepository; If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
2024-05-14 00:27:45,967 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport ? - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.ispan.theater.repository.AuditoriumLevelRepository; If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
2024-05-14 00:27:45,968 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport ? - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.ispan.theater.repository.AuditoriumRepository; If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
2024-05-14 00:27:45,970 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport ? - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.ispan.theater.repository.CategoryRepository; If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
2024-05-14 00:27:45,972 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport ? - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.ispan.theater.repository.CinemaRepository; If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
2024-05-14 00:27:45,975 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport ? - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.ispan.theater.repository.CollectRepository; If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
2024-05-14 00:27:45,977 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport ? - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.ispan.theater.repository.CommentRepository; If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
2024-05-14 00:27:45,979 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport ? - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.ispan.theater.repository.CustomerServiceRepository; If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
2024-05-14 00:27:45,981 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport ? - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.ispan.theater.repository.EmployeeRepository; If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
2024-05-14 00:27:45,983 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport ? - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.ispan.theater.repository.LayoutRepository; If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
2024-05-14 00:27:45,985 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport ? - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.ispan.theater.repository.MovieActRepository; If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
2024-05-14 00:27:45,987 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport ? - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.ispan.theater.repository.MoviePictureRepository; If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
2024-05-14 00:27:45,991 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport ? - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.ispan.theater.repository.MovieRepository; If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
2024-05-14 00:27:45,995 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport ? - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.ispan.theater.repository.OrderDetailRepository; If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
2024-05-14 00:27:45,999 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport ? - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.ispan.theater.repository.OrderRepository; If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
2024-05-14 00:27:46,001 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport ? - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.ispan.theater.repository.RatedRepository; If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
2024-05-14 00:27:46,004 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport ? - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.ispan.theater.repository.ScreeningRepository; If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
2024-05-14 00:27:46,006 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport ? - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.ispan.theater.repository.SeatRepository; If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
2024-05-14 00:27:46,008 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport ? - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.ispan.theater.repository.TicketRepository; If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
2024-05-14 00:27:46,010 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport ? - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.ispan.theater.repository.UserRepository; If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
2024-05-14 00:27:46,011 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate ? - Finished Spring Data repository scanning in 90 ms. Found 0 JDBC repository interfaces.
2024-05-14 00:27:46,022 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate ? - Multiple Spring Data modules found, entering strict repository configuration mode
2024-05-14 00:27:46,023 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate ? - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-05-14 00:27:46,106 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate ? - Finished Spring Data repository scanning in 78 ms. Found 21 JPA repository interfaces.
2024-05-14 00:27:47,741 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer ? - Tomcat initialized with port 8080 (http)
2024-05-14 00:27:47,775 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol ? - Initializing ProtocolHandler ["http-nio-8080"]
2024-05-14 00:27:47,779 [restartedMain] INFO  o.a.catalina.core.StandardService ? - Starting service [Tomcat]
2024-05-14 00:27:47,779 [restartedMain] INFO  o.a.catalina.core.StandardEngine ? - Starting Servlet engine: [Apache Tomcat/10.1.20]
2024-05-14 00:27:47,951 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] ? - Initializing Spring embedded WebApplicationContext
2024-05-14 00:27:47,951 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext ? - Root WebApplicationContext: initialization completed in 3534 ms
2024-05-14 00:27:48,526 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper ? - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-05-14 00:27:48,665 [restartedMain] INFO  org.hibernate.Version ? - HHH000412: Hibernate ORM core version 6.4.4.Final
2024-05-14 00:27:48,712 [restartedMain] INFO  o.h.c.i.RegionFactoryInitiator ? - HHH000026: Second-level cache disabled
2024-05-14 00:27:49,252 [restartedMain] INFO  o.s.o.j.p.SpringPersistenceUnitInfo ? - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-05-14 00:27:49,315 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource ? - HikariPool-1 - Starting...
2024-05-14 00:27:49,812 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool ? - HikariPool-1 - Added connection ConnectionID:1 ClientConnectionId: 629066a3-515b-4113-a95a-7ab1d40e82bf
2024-05-14 00:27:49,815 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource ? - HikariPool-1 - Start completed.
2024-05-14 00:27:49,889 [restartedMain] WARN  org.hibernate.orm.deprecation ? - HHH90000025: SQLServerDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2024-05-14 00:27:51,990 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator ? - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-05-14 00:27:54,088 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean ? - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-05-14 00:27:54,606 [restartedMain] INFO  o.s.d.j.r.query.QueryEnhancerFactory ? - JSqlParser is in classpath; If applicable, JSqlParser will be used
2024-05-14 00:27:54,606 [restartedMain] INFO  o.s.d.j.r.query.QueryEnhancerFactory ? - Hibernate is in classpath; If applicable, HQL parser will be used.
2024-05-14 00:27:56,314 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration ? - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-05-14 00:27:57,144 [restartedMain] WARN  o.s.data.convert.CustomConversions ? - Registering converter from class microsoft.sql.DateTimeOffset to class java.time.OffsetDateTime as reading converter although it doesn't convert from a store-supported type; You might want to check your annotation setup at the converter implementation
2024-05-14 00:27:57,404 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer ? - LiveReload server is running on port 35729
2024-05-14 00:27:57,436 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol ? - Starting ProtocolHandler ["http-nio-8080"]
2024-05-14 00:27:57,493 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer ? - Tomcat started on port 8080 (http) with context path ''
2024-05-14 00:27:57,512 [restartedMain] INFO  c.ispan.theater.TheaterApplication ? - Started TheaterApplication in 14.055 seconds (process running for 16.533)
2024-05-14 00:28:24,756 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] ? - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-05-14 00:28:24,756 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet ? - Initializing Servlet 'dispatcherServlet'
2024-05-14 00:28:24,758 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet ? - Completed initialization in 2 ms
2024-05-14 00:28:24,933 [http-nio-8080-exec-1] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'findAllCinemaName' executed with arguments: 
2024-05-14 00:28:35,609 [http-nio-8080-exec-3] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'findAllCinemaName' executed with arguments: 
2024-05-14 00:28:48,335 [http-nio-8080-exec-5] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'findMovieByScreening' executed with arguments: 1
2024-05-14 00:28:49,065 [http-nio-8080-exec-6] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'findScreeningByDate' executed with arguments: 1, 1
2024-05-14 00:28:49,944 [http-nio-8080-exec-7] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'findScreeningByTime' executed with arguments: 1, 2024-03-03, 1
2024-05-14 00:28:51,073 [http-nio-8080-exec-8] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'ticketList' executed with arguments: 2
2024-05-14 00:34:01,721 [http-nio-8080-exec-10] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'findAllCinemaName' executed with arguments: 
2024-05-14 00:34:03,395 [http-nio-8080-exec-1] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'findMovieByScreening' executed with arguments: 1
2024-05-14 00:34:04,218 [http-nio-8080-exec-2] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'findScreeningByDate' executed with arguments: 1, 1
2024-05-14 00:34:05,177 [http-nio-8080-exec-3] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'findScreeningByTime' executed with arguments: 1, 2024-03-03, 1
2024-05-14 00:34:06,798 [http-nio-8080-exec-4] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'ticketList' executed with arguments: 3
2024-05-14 00:34:44,166 [http-nio-8080-exec-6] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'findAllCinemaName' executed with arguments: 
2024-05-14 00:35:08,318 [http-nio-8080-exec-8] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'findAllCinemaName' executed with arguments: 
2024-05-14 00:35:11,302 [http-nio-8080-exec-10] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'findMovieByScreening' executed with arguments: 1
2024-05-14 00:35:55,730 [http-nio-8080-exec-2] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'findScreeningByDate' executed with arguments: 1, 1
2024-05-14 00:36:00,049 [http-nio-8080-exec-4] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'findScreeningByTime' executed with arguments: 1, 2024-03-03, 1
2024-05-14 00:36:03,738 [http-nio-8080-exec-5] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'ticketList' executed with arguments: 2
2024-05-14 00:37:54,640 [http-nio-8080-exec-8] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'ticketList' executed with arguments: 22
2024-05-14 00:38:09,817 [http-nio-8080-exec-9] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'findAllCinemaName' executed with arguments: 
2024-05-14 00:38:32,898 [http-nio-8080-exec-1] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'findMovieByScreening' executed with arguments: 1
2024-05-14 00:38:33,955 [http-nio-8080-exec-3] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'findScreeningByDate' executed with arguments: 1, 1
2024-05-14 00:38:35,297 [http-nio-8080-exec-4] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'findScreeningByTime' executed with arguments: 1, 2024-03-03, 1
2024-05-14 00:38:36,616 [http-nio-8080-exec-5] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'ticketList' executed with arguments: 3
2024-05-14 00:39:06,826 [http-nio-8080-exec-7] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'findAllCinemaName' executed with arguments: 
2024-05-14 00:39:07,932 [http-nio-8080-exec-8] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'findMovieByScreening' executed with arguments: 1
2024-05-14 00:39:08,672 [http-nio-8080-exec-9] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'findScreeningByDate' executed with arguments: 1, 1
2024-05-14 00:39:09,450 [http-nio-8080-exec-10] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'findScreeningByTime' executed with arguments: 1, 2024-03-03, 1
2024-05-14 00:39:17,284 [http-nio-8080-exec-1] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'findScreeningByTime' executed with arguments: 1, 2024-05-05, 1
2024-05-14 00:39:21,819 [http-nio-8080-exec-2] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'ticketList' executed with arguments: 22
2024-05-14 00:41:22,282 [http-nio-8080-exec-4] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'findAllCinemaName' executed with arguments: 
2024-05-14 00:41:23,650 [http-nio-8080-exec-5] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'findMovieByScreening' executed with arguments: 1
2024-05-14 00:41:24,286 [http-nio-8080-exec-6] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'findScreeningByDate' executed with arguments: 1, 1
2024-05-14 00:41:25,773 [http-nio-8080-exec-7] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'findScreeningByTime' executed with arguments: 1, 2024-05-05, 1
2024-05-14 00:41:26,767 [http-nio-8080-exec-8] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'ticketList' executed with arguments: 22
2024-05-14 00:42:16,182 [http-nio-8080-exec-10] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'findAllCinemaName' executed with arguments: 
2024-05-14 00:42:18,223 [http-nio-8080-exec-2] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'findMovieByScreening' executed with arguments: 1
2024-05-14 00:42:21,002 [http-nio-8080-exec-3] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'findScreeningByDate' executed with arguments: 1, 1
2024-05-14 00:42:22,219 [http-nio-8080-exec-4] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'findScreeningByTime' executed with arguments: 1, 2024-05-05, 1
2024-05-14 00:42:23,810 [http-nio-8080-exec-5] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'ticketList' executed with arguments: 22
